dataset,setting,label,threshold,precision,recall,f1,support,tn,fp,fn,tp
validation,default_0.5,mean_shift,0.5,0.7487684729064039,0.6755555555555556,0.7102803738317757,225,444,51,73,152
validation,default_0.5,variance_shift,0.5,0.7427385892116183,0.7955555555555556,0.7682403433476395,225,433,62,46,179
validation,default_0.5,trend_shift,0.5,0.7639751552795031,0.5466666666666666,0.6373056994818653,225,457,38,102,123
validation,default_0.5,point_anomaly,0.5,0.6428571428571429,0.68,0.6609071274298056,225,410,85,72,153
validation,default_0.5,collective_anomaly,0.5,0.8895027624309392,0.7155555555555555,0.7931034482758621,225,475,20,64,161
ood_params,default_0.5,mean_shift,0.5,0.6479591836734694,0.5644444444444444,0.6033254156769596,225,426,69,98,127
ood_params,default_0.5,variance_shift,0.5,0.5833333333333334,0.49777777777777776,0.5371702637889688,225,415,80,113,112
ood_params,default_0.5,trend_shift,0.5,0.5655172413793104,0.36444444444444446,0.44324324324324327,225,432,63,143,82
ood_params,default_0.5,point_anomaly,0.5,0.5247524752475248,0.4711111111111111,0.4964871194379391,225,399,96,119,106
ood_params,default_0.5,collective_anomaly,0.5,0.9251101321585903,0.9333333333333333,0.9292035398230089,225,478,17,15,210
ood_background,default_0.5,mean_shift,0.5,0.47470817120622566,0.5422222222222223,0.5062240663900415,225,360,135,103,122
ood_background,default_0.5,variance_shift,0.5,0.5,0.4666666666666667,0.4827586206896552,225,390,105,120,105
ood_background,default_0.5,trend_shift,0.5,0.5428571428571428,0.5066666666666667,0.5241379310344828,225,399,96,111,114
ood_background,default_0.5,point_anomaly,0.5,0.6586345381526104,0.7288888888888889,0.6919831223628692,225,410,85,61,164
ood_background,default_0.5,collective_anomaly,0.5,0.8181818181818182,0.6,0.6923076923076923,225,465,30,90,135
validation,tuned,mean_shift,0.39000000000000007,0.6901960784313725,0.7822222222222223,0.7333333333333333,225,416,79,49,176
validation,tuned,variance_shift,0.6500000000000001,0.83,0.7377777777777778,0.7811764705882352,225,461,34,59,166
validation,tuned,trend_shift,0.4000000000000001,0.7195767195767195,0.6044444444444445,0.6570048309178744,225,442,53,89,136
validation,tuned,point_anomaly,0.49000000000000005,0.6416666666666667,0.6844444444444444,0.6623655913978495,225,409,86,71,154
validation,tuned,collective_anomaly,0.4000000000000001,0.8717948717948718,0.7555555555555555,0.8095238095238095,225,470,25,55,170
ood_params,tuned,mean_shift,0.39000000000000007,0.5892116182572614,0.6311111111111111,0.6094420600858369,225,396,99,83,142
ood_params,tuned,variance_shift,0.6500000000000001,0.6535947712418301,0.4444444444444444,0.5291005291005291,225,442,53,125,100
ood_params,tuned,trend_shift,0.4000000000000001,0.546875,0.4666666666666667,0.5035971223021583,225,408,87,120,105
ood_params,tuned,point_anomaly,0.49000000000000005,0.5245098039215687,0.47555555555555556,0.4988344988344988,225,398,97,118,107
ood_params,tuned,collective_anomaly,0.4000000000000001,0.8785425101214575,0.9644444444444444,0.9194915254237288,225,465,30,8,217
ood_background,tuned,mean_shift,0.39000000000000007,0.45,0.64,0.5284403669724771,225,319,176,81,144
ood_background,tuned,variance_shift,0.6500000000000001,0.5592105263157895,0.37777777777777777,0.4509283819628647,225,428,67,140,85
ood_background,tuned,trend_shift,0.4000000000000001,0.4889705882352941,0.5911111111111111,0.5352112676056338,225,356,139,92,133
ood_background,tuned,point_anomaly,0.49000000000000005,0.6561264822134387,0.7377777777777778,0.694560669456067,225,408,87,59,166
ood_background,tuned,collective_anomaly,0.4000000000000001,0.7352941176470589,0.6666666666666666,0.6993006993006993,225,441,54,75,150
