dataset,label,threshold_default,threshold_tuned,precision_default,precision_tuned,recall_default,recall_tuned,f1_default,f1_tuned,fp_default,fp_tuned,fn_default,fn_tuned
validation,mean_shift,0.5,0.4600000000000001,0.825531914893617,0.7854406130268199,0.6466666666666666,0.6833333333333333,0.7252336448598131,0.7308377896613191,41,56,106,95
validation,variance_shift,0.5,0.36000000000000004,0.9663461538461539,0.889795918367347,0.67,0.7266666666666667,0.7913385826771654,0.8,7,27,99,82
validation,trend_shift,0.5,0.32000000000000006,0.7232142857142857,0.6027397260273972,0.54,0.7333333333333333,0.6183206106870229,0.6616541353383458,62,145,138,80
validation,point_anomaly,0.5,0.4600000000000001,0.7375886524822695,0.7239057239057239,0.6933333333333334,0.7166666666666667,0.7147766323024055,0.7202680067001676,74,82,92,85
validation,collective_anomaly,0.5,0.4700000000000001,0.9504132231404959,0.9469387755102041,0.7666666666666667,0.7733333333333333,0.8487084870848709,0.8513761467889909,12,13,70,68
ood_params,mean_shift,0.5,0.4600000000000001,0.6616915422885572,0.6278026905829597,0.44333333333333336,0.4666666666666667,0.530938123752495,0.5353728489483748,68,83,167,160
ood_params,variance_shift,0.5,0.36000000000000004,0.9203539823008849,0.8,0.3466666666666667,0.4266666666666667,0.5036319612590799,0.5565217391304348,9,32,196,172
ood_params,trend_shift,0.5,0.32000000000000006,0.6615384615384615,0.5186170212765957,0.43,0.65,0.5212121212121212,0.5769230769230769,66,181,171,105
ood_params,point_anomaly,0.5,0.4600000000000001,0.5810055865921788,0.5555555555555556,0.3466666666666667,0.38333333333333336,0.4342379958246347,0.4536489151873767,75,92,196,185
ood_params,collective_anomaly,0.5,0.4700000000000001,0.9722222222222222,0.9656357388316151,0.9333333333333333,0.9366666666666666,0.9523809523809523,0.9509306260575296,8,10,20,19
ood_background,mean_shift,0.5,0.4600000000000001,0.5148514851485149,0.49145299145299143,0.3466666666666667,0.38333333333333336,0.41434262948207173,0.4307116104868914,98,119,196,185
ood_background,variance_shift,0.5,0.36000000000000004,0.5808383233532934,0.48638132295719844,0.3233333333333333,0.4166666666666667,0.41541755888650966,0.4488330341113106,70,132,203,175
ood_background,trend_shift,0.5,0.32000000000000006,0.48484848484848486,0.42543859649122806,0.48,0.6466666666666666,0.4824120603015075,0.5132275132275133,153,262,156,106
ood_background,point_anomaly,0.5,0.4600000000000001,0.7068403908794788,0.6962025316455697,0.7233333333333334,0.7333333333333333,0.71499176276771,0.7142857142857143,90,96,83,80
ood_background,collective_anomaly,0.5,0.4700000000000001,0.8008130081300813,0.7799227799227799,0.6566666666666666,0.6733333333333333,0.7216117216117216,0.7227191413237924,49,57,103,98
