dataset,label,decision_rule_default,threshold_default,threshold_tuned,precision_default,precision_tuned,precision_change,recall_default,recall_tuned,recall_change,f1_default,f1_tuned,f1_change,fp_default,fp_tuned,fp_change,fn_default,fn_tuned,fn_change,tp_default,tp_tuned,tp_change
validation,mean_shift,argmax_regime,,,0.8202037085400888,0.8202037085400888,0.0,0.7593670812619688,0.7593670812619688,0.0,0.788613843982744,0.788613843982744,0.0,17211,17211,0,24880,24880,0,78514,78514,0
validation,variance_shift,argmax_regime,,,0.8364045374048724,0.8364045374048724,0.0,0.6798288270764443,0.6798288270764443,0.0,0.7500321902227564,0.7500321902227564,0.0,13672,13672,0,32920,32920,0,69900,69900,0
validation,trend_shift,argmax_regime,,,0.7801825380846923,0.7801825380846923,0.0,0.47606470106470106,0.47606470106470106,0.0,0.5913125302001475,0.5913125302001475,0.0,13102,13102,0,51178,51178,0,46502,46502,0
validation,point_anomaly,sigmoid_threshold,0.5,0.9300000000000002,0.18292682926829268,0.40119760479041916,0.21827077552212648,0.8108108108108109,0.6036036036036037,-0.2072072072072072,0.29850746268656714,0.48201438848920863,0.1835069258026415,402,100,-302,21,44,23,90,67,-23
validation,collective_anomaly,sigmoid_threshold,0.5,0.9500000000000002,0.8143363862565515,0.9099561213769235,0.09561973512037203,0.9331472943460325,0.8932297985925746,-0.03991749575345793,0.8697028807282391,0.9015153834379305,0.03181250270969138,3507,1457,-2050,1102,1760,658,15382,14724,-658
ood_params,mean_shift,argmax_regime,,,0.7207394904794556,0.7207394904794556,0.0,0.5637693267733185,0.5637693267733185,0.0,0.6326633369408579,0.6326633369408579,0.0,21178,21178,0,42293,42293,0,54658,54658,0
ood_params,variance_shift,argmax_regime,,,0.7415140108741113,0.7415140108741113,0.0,0.4373014463584522,0.4373014463584522,0.0,0.5501542204266041,0.5501542204266041,0.0,15451,15451,0,57034,57034,0,44324,44324,0
ood_params,trend_shift,argmax_regime,,,0.5580764695974398,0.5580764695974398,0.0,0.31813991895992166,0.31813991895992166,0.0,0.40525697791041854,0.40525697791041854,0.0,26237,26237,0,71013,71013,0,33133,33133,0
ood_params,point_anomaly,sigmoid_threshold,0.5,0.9300000000000002,0.08383233532934131,0.17857142857142858,0.09473909324208726,0.14893617021276595,0.05319148936170213,-0.09574468085106383,0.10727969348659004,0.08196721311475409,-0.02531248037183595,153,23,-130,80,89,9,14,5,-9
ood_params,collective_anomaly,sigmoid_threshold,0.5,0.9500000000000002,0.9065996285727227,0.9717171717171718,0.06511754314444906,0.9538674164800076,0.8940094362102654,-0.059857980269742206,0.9296330701346958,0.9312450357426529,0.0016119656079571776,2062,546,-1516,968,2224,1256,20015,18759,-1256
ood_background,mean_shift,argmax_regime,,,0.3728865721594953,0.3728865721594953,0.0,0.6015079586707623,0.6015079586707623,0.0,0.4603766415730604,0.4603766415730604,0.0,97809,97809,0,38529,38529,0,58158,58158,0
ood_background,variance_shift,argmax_regime,,,0.5555670148659997,0.5555670148659997,0.0,0.3773554694927297,0.3773554694927297,0.0,0.4494398092967819,0.4494398092967819,0.0,30165,30165,0,62219,62219,0,37708,37708,0
ood_background,trend_shift,argmax_regime,,,0.5521923486159857,0.5521923486159857,0.0,0.3582054187699598,0.3582054187699598,0.0,0.4345315829266616,0.4345315829266616,0.0,28198,28198,0,62299,62299,0,34771,34771,0
ood_background,point_anomaly,sigmoid_threshold,0.5,0.9300000000000002,0.16917293233082706,0.29333333333333333,0.12416040100250628,0.8181818181818182,0.6,-0.21818181818181825,0.2803738317757009,0.3940298507462687,0.11365601897056776,442,159,-283,20,44,24,90,66,-24
ood_background,collective_anomaly,sigmoid_threshold,0.5,0.9500000000000002,0.8360674610027053,0.9489358713212053,0.11286841031849992,0.8531070128039469,0.7934923058851169,-0.059614706918829974,0.844501293642257,0.8642804593289192,0.01977916568666216,2848,727,-2121,2501,3516,1015,14525,13510,-1015
